group,configuration,seed,best_epoch,val_iou,val_dice,test_iou,test_dice,source_git_commit,experiment_tag,best_checkpoint,checkpoint_sha256,validation_result,test_result,origin
J0,原版PLAM，无FSDR、无RACE,1219,61,0.7225930286155378,0.819336509334292,0.7556750522336712,0.8406037074337933,a8a63d7d992d455f1e0d640a8dca9ccca72a491e,experiment-stage1-j0-80e-seed1219-20260915,/root/autodl-tmp/BetterLViT-stage1-j0s1219/Covid19/BetterLViT/j0_plam_r2/J0_Test_session_09.15_14h47/models/best_model-BetterLViT.pth.tar,037707113b7eec8e406e15f19146fd8c081b9cc845a777dfd2e1f4ab7f552569,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j0s1219\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j0s1219\test.json,new
J0,原版PLAM，无FSDR、无RACE,2027,72,0.7235435636030164,0.8212877351284444,0.754667685881272,0.8407708544347343,099bb07e09bb6711acff263311ba5e7d39fdc81c,experiment-stage1-j0-80e-seed2027-20260915,/root/autodl-tmp/BetterLViT-stage1-j0s2027/Covid19/BetterLViT/j0_plam_r2/J0_Test_session_09.16_01h46/models/best_model-BetterLViT.pth.tar,f88a629472157dce554483dc6f76f649fe248bd8578337c02b30eac3f4b79ce0,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j0s2027\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j0s2027\test.json,new
J0,原版PLAM，无FSDR、无RACE,3407,74,0.7235484628655068,0.8203485576749422,0.7539828007117387,0.8393788171575878,fb11f009ea2dd1b286c9ea71dcc2dfb67d026a42,experiment-stage1-j0-80e-seed3407-20260915,/root/autodl-tmp/BetterLViT-stage1-j0s3407/Covid19/BetterLViT/j0_plam_r2/J0_Test_session_09.16_12h49/models/best_model-BetterLViT.pth.tar,d82a2e902828737902bbe3a95e4d90e8fe8869cc1d79e9ef86d7d932c9bbe980,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j0s3407\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j0s3407\test.json,new
J1,FSDR替换PLAM，无RACE,1219,67,0.7266535938268995,0.8240342867846576,0.7580983080794957,0.8442357558557602,9eca26de5b301099805530edbf5a1a8718bea662,experiment-r2-recipe-80e-seed1219-20260908-v2,/root/BetterLViT-recipe-r2/Covid19/BetterLViT/r2_single_cosine/R2_Test_session_09.09_00h21/models/best_model-BetterLViT.pth.tar,b36d1392861592181c6e908a4ce81fec27167ab21c5ec92cbbb4c3553b57542a,D:\BetterLViT\outputs\recipe_20260908\r2_validation.json,D:\BetterLViT\outputs\recipe_test_20260910\r2s1219_test.json,reused
J1,FSDR替换PLAM，无RACE,2027,68,0.7304811821884171,0.8270935579188645,0.7608585504493884,0.8457388894396928,c972a152b5d152ddfa82e034596085aca85dd0ab,experiment-r2-recipe-80e-seed2027-20260909,/root/BetterLViT-recipe-r2s2027/Covid19/BetterLViT/r2_single_cosine/R2_Test_session_09.09_10h40/models/best_model-BetterLViT.pth.tar,809fd4f454da621afdee1113a5e922008e08b2efa78d772c2e9682265b6ef2fc,D:\BetterLViT\outputs\recipe_replication_20260909\r2s2027_validation.json,D:\BetterLViT\outputs\recipe_test_20260910\r2s2027_test.json,reused
J1,FSDR替换PLAM，无RACE,3407,75,0.7264841055295278,0.8234211685822802,0.7605435221739733,0.8451174629437327,7b498ba94fed230731d1daf9a5f4de042e4e71f2,experiment-r2-recipe-80e-seed3407-20260909,/root/BetterLViT-recipe-r2s3407/Covid19/BetterLViT/r2_single_cosine/R2_Test_session_09.09_20h47/models/best_model-BetterLViT.pth.tar,5a142fe73e519ea8bdda54cbd659a2327b7789557dc1f2712dfa6f9ee50d2d5d,D:\BetterLViT\outputs\recipe_replication_20260909\r2s3407_validation.json,D:\BetterLViT\outputs\recipe_test_20260910\r2s3407_test.json,reused
J2,原版PLAM＋完整RACE（含绑定修复辅助监督）,1219,78,0.7249392487822852,0.8214756280886679,0.758189287159852,0.8427117611194825,e2096e14f6b95e4f41e9164d211f9d44582bea24,experiment-stage1-j2-80e-seed1219-20260915,/root/autodl-tmp/BetterLViT-stage1-j2s1219/Covid19/BetterLViT/j2_plam_race_binding/J2_Test_session_09.15_17h28/models/best_model-BetterLViT.pth.tar,c9b61afddaff1c782d4d412b4688471c22642425819e7a54769f4a1e037b5eaa,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j2s1219\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j2s1219\test.json,new
J2,原版PLAM＋完整RACE（含绑定修复辅助监督）,2027,72,0.7251544936363753,0.8214158475385019,0.7564579875800803,0.8416483460399299,1c3a6baa1cf80239b1ec9cb99b2625ef5ecc35f4,experiment-stage1-j2-80e-seed2027-20260915,/root/autodl-tmp/BetterLViT-stage1-j2s2027/Covid19/BetterLViT/j2_plam_race_binding/J2_Test_session_09.16_04h25/models/best_model-BetterLViT.pth.tar,a314ca12945c9baaf1aa0b1332e4d4fd1747d469170e09408e9691eea97b09a7,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j2s2027\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j2s2027\test.json,new
J2,原版PLAM＋完整RACE（含绑定修复辅助监督）,3407,66,0.7262349912032372,0.8227745681535414,0.7562394029328435,0.8414247216094198,46e311b9ad721be41a516f43e11a92f5a8207682,experiment-stage1-j2-80e-seed3407-20260915,/root/autodl-tmp/BetterLViT-stage1-j2s3407/Covid19/BetterLViT/j2_plam_race_binding/J2_Test_session_09.16_15h28/models/best_model-BetterLViT.pth.tar,42184395aa91deb7611ecfd11ecdabed2b3831328c339b0b98a4b7bea3ed24b5,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j2s3407\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j2s3407\test.json,new
J3,FSDR替换PLAM＋完整RACE（含绑定修复辅助监督）,1219,75,0.7281153892839903,0.8251255979389873,0.7624854356683717,0.8470967185691495,c6e52a9b13576cab9e2451c550d03ad274bc09e2,experiment-p8-r2-binding-80e-seed1219-20260914,/root/autodl-tmp/BetterLViT-p8-r2-binding/Covid19/BetterLViT/p8_r2_binding/P8B2_Test_session_09.14_23h22/models/best_model-BetterLViT.pth.tar,910b12fb9c20fa658e4b746a92c543bda14ce52f906e93a65ce91da08f27683c,D:\BetterLViT\outputs\p8_research_20260914\p8_r2_binding_validation.json,D:\BetterLViT\outputs\p8_research_20260914\test_20260915\p8_r2_binding_test.json,reused
J3,FSDR替换PLAM＋完整RACE（含绑定修复辅助监督）,2027,78,0.7323509805487002,0.8286866164700581,0.7625624802705974,0.8474675585924,38b54196d4bfc6e44d4977dd7a87f07fad3a5d86,experiment-stage1-j3-80e-seed2027-20260915,/root/autodl-tmp/BetterLViT-stage1-j3s2027/Covid19/BetterLViT/p8_r2_binding/P8B2_Test_session_09.15_20h32/models/best_model-BetterLViT.pth.tar,fdebeb0ce795dc669f286a8414c5cf59253210b4868c6caa9f4c4f8c542b3daf,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j3s2027\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j3s2027\test.json,new
J3,FSDR替换PLAM＋完整RACE（含绑定修复辅助监督）,3407,70,0.7290282858636302,0.8265651991278234,0.7617376560968515,0.8467727945897684,2661423767a6d92b2daaed8a12f8049d7430fee2,experiment-stage1-j3-80e-seed3407-20260915,/root/autodl-tmp/BetterLViT-stage1-j3s3407/Covid19/BetterLViT/p8_r2_binding/P8B2_Test_session_09.16_07h29/models/best_model-BetterLViT.pth.tar,2fb835f6254db93f0630163c8d6b99f491c75359995a635ac37777cddeb4eed5,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j3s3407\validation.json,D:\BetterLViT\outputs\stage1_overall_20260915\completed\j3s3407\test.json,new
