term,layer,connected,ratio_mean,ratio_min,ratio_max,cosine_mean,cosine_min,cosine_max
pixel,inc,True,0.010216025104892642,0.005770016216369943,0.014381895515284295,0.2308958271324973,0.19386419137977626,0.27192038487550246
pixel,down1,True,0.010046252805511332,0.005497520439698349,0.014718163024757721,0.1808500436844723,0.1567247625224428,0.22402846330630288
pixel,down2,True,0.010128779012734663,0.005594937233911264,0.014553195126063966,0.1032569927615285,0.08531097415652371,0.13636704300186023
pixel,down3,True,0.009119644653504375,0.00426223628372046,0.01255327606717695,0.021287102504111133,0.016385571859140188,0.032225848600988816
presence,inc,True,0.007909162077548553,0.0045081294237593866,0.012153942791036845,0.08375902716025065,0.05018134004982716,0.11520777450287048
presence,down1,True,0.007203807273656033,0.004043975706130057,0.011668626440616005,0.0737698203498839,0.049114773933817135,0.10026001024106805
presence,down2,True,0.00627371373664297,0.0032890290843523573,0.010381770623938824,0.05680430006143503,0.045191135456498804,0.07038917283003059
presence,down3,True,0.005095642507941087,0.0025422360384920297,0.00813848213730865,0.008161609422001025,0.004691301388172068,0.00983376983230942
occupancy,inc,True,0.0003155199501772716,0.00017066707881809755,0.00043496603756866005,0.11299302438906518,0.07120872718014531,0.18300108542884022
occupancy,down1,True,0.000299608669125773,0.00015886029064289105,0.0004166935379544686,0.08310241314873432,0.051233649992067073,0.14714154315679312
occupancy,down2,True,0.0002822560117433204,0.00014640754452765616,0.0003831623041814544,0.05379909420975986,0.025202456344091562,0.1033371154102977
occupancy,down3,True,0.00022953979912452844,0.00010133562267811028,0.0002989218310148737,0.008640865819144392,0.0008771380452493207,0.022882467314191475
visual_aux,inc,True,0.015173012937877062,0.008579187967818796,0.02278824346020191,0.20298243280391487,0.17736382813710422,0.2472537762243857
visual_aux,down1,True,0.014265593806841295,0.00763631563863851,0.022440063844840468,0.16830864852948452,0.13855380141040713,0.21369633983572817
visual_aux,down2,True,0.013156630327575592,0.006991562869750943,0.020420894067164297,0.10865716647042131,0.0915233482596465,0.14295238892952705
visual_aux,down3,True,0.010895467258844962,0.005127915435034594,0.01559594122750696,0.02187285314454268,0.016831041116928604,0.032547007500328864
text,inc,False,0.0,0.0,0.0,,,
text,down1,False,0.0,0.0,0.0,,,
text,down2,False,0.0,0.0,0.0,,,
text,down3,False,0.0,0.0,0.0,,,
count,inc,False,0.0,0.0,0.0,,,
count,down1,False,0.0,0.0,0.0,,,
count,down2,False,0.0,0.0,0.0,,,
count,down3,False,0.0,0.0,0.0,,,
